Gene_A,Gene_B
EP300,CEBPB
CEBPB,HSF2
CEBPB,KLRC3
CEBPB,ARG1
ID1,CEBPB
MAX,CEBPA
CEBPA,TTR
KLK3,CEBPA
CEBPA,SMARCA2
CEBPA,G6PC
CEBPA,SFTPD
E2F4,CEBPA
CEBPA,CDK2
CEBPA,PRTN3
CEBPA,LYZ
CEBPA,LECT2
RB1,CEBPA
MYC,CEBPA
CEBPA,TOM1
SPI1,FCGR2A
E2F2,SPI1
SPI1,PRTN3
SPI1,LYZ
E2F3,SPI1
E2F1,SPI1
SPI1,SLC11A1
SPI1,ARG1
SPI1,CSF1R
RB1,SPI1
TFDP1,SPI1
SPI1,GSC
SPI1,TBP
SP1,CEBPD
MAX,CEBPD
CEBPD,TTR
CEBPD,SMARCA2
CEBPD,CREB1
CEBPD,G6PC
CEBPD,SFTPD
CEBPD,PRTN3
CEBPD,TP63
CEBPD,LECT2
CEBPD,TBP
MYC,CEBPD
CEBPD,TOM1
CEBPD,ZBTB17
STAT3,CEBPD
PLAUR,ITGA3
PLAUR,ITGA5
PLAUR,ITGAV
PLAUR,ITGAM
PLAUR,KLK4
PLAUR,SRC
PLAUR,VLDLR
PLAUR,MMP12
PLAUR,CTRC
PLAUR,EGFR
PLAUR,GPLD1
SERPINE1,PLAUR
PLAUR,JUN
PLAUR,MAPK3
PLAUR,MAPK1
PLAUR,FOSL1
PLAUR,FGG
PLAUR,FGA
PLAUR,FGB
PLAUR,ITGB1
PLAUR,ITGB3
ITGB2,PLAUR
PLAUR,ITGB5
PLAUR,FPR1
PLAUR,FPR2
PLAUR,FPR3
PLAUR,PLAU
PLAUR,CTSG
PLAUR,HGF
PLAUR,VTN
PLAUR,LRP1
PLAUR,FN1
PLAUR,PLG
PLAUR,MET
PLAUR,NCL
MYB,HSPA8
MYB,HSPA5
MYB,MAF
MYB,NLK
MYB,CD34
TRIM28,MYB
MYB,SLC25A3
MYB,SLC1A5
MYB,PAX5
MYB,COL1A2
MYB,PTGS2
MYB,TRDC
MYB,PPID
MYB,MPO
NCOR1,MYB
MYB,ADA
MYB,PIAS3
SIN3A,MYB
MYB,MYF6
MYOD1,MYB
MYB,PPP3CA
